linha,coluna,poco,wumpus,ouro,brisa,fedor,brilho
0,0,false,false,false,false,true,false
0,1,false,false,false,false,false,false
0,2,false,false,false,false,false,false
0,3,false,false,false,true,false,false
0,4,false,false,false,false,false,false
1,0,false,true,false,false,false,false
1,1,false,false,false,false,true,false
1,2,false,false,false,true,false,false
1,3,true,false,false,false,false,false
1,4,false,false,false,true,false,false
2,0,false,false,false,false,true,false
2,1,false,false,false,false,false,false
2,2,false,false,false,false,false,false
2,3,false,false,false,true,false,false
2,4,false,false,false,false,false,false
3,0,false,false,false,false,false,false
3,1,false,false,false,false,false,false
3,2,false,false,true,true,false,true
3,3,true,false,false,false,false,false
3,4,false,false,false,true,false,false
4,0,false,false,false,false,false,false
4,1,false,false,false,false,false,false
4,2,false,false,false,false,false,false
4,3,false,false,false,true,false,false
4,4,false,false,false,false,false,false
