geracao,melhor,pior,media
0,7087.0000,-997.0000,4014.5400
1,7087.0000,-997.0000,6479.7000
2,7087.0000,6068.0000,7044.1200
3,7087.0000,-997.0000,6904.0200
4,7087.0000,6080.0000,7046.2400
5,7087.0000,6080.0000,7066.5400
6,7087.0000,7085.0000,7086.7600
7,7087.0000,6080.0000,7066.3400
8,7087.0000,-997.0000,6884.8800
9,7087.0000,6080.0000,7026.5400
10,7087.0000,6080.0000,7006.2400
11,7087.0000,6080.0000,7046.6000
12,7087.0000,-997.0000,6904.9400
13,7087.0000,6080.0000,7046.7200
14,7087.0000,6080.0000,7066.6200
15,7087.0000,-997.0000,6703.1000
16,7087.0000,6080.0000,7046.6400
17,7087.0000,-997.0000,6884.7600
18,7087.0000,-997.0000,6743.1000
19,7087.0000,6080.0000,7046.6400
20,7087.0000,6070.0000,7025.8600
21,7087.0000,6080.0000,7046.4800
22,7087.0000,6080.0000,7046.6400
23,7087.0000,7079.0000,7086.7200
24,7087.0000,-997.0000,6904.7800
25,7087.0000,6080.0000,7066.5000
26,7087.0000,6080.0000,7026.2600
27,7087.0000,-997.0000,6864.5400
28,7087.0000,-997.0000,6864.0600
29,7087.0000,-997.0000,6864.5000
30,7087.0000,-997.0000,6581.6600
31,7087.0000,-997.0000,6904.8600
32,7087.0000,-997.0000,6905.0600
33,7087.0000,6080.0000,7046.2400
34,7087.0000,7085.0000,7086.7600
35,7087.0000,-997.0000,6925.1200
36,7087.0000,7081.0000,7086.7600
37,7087.0000,7081.0000,7086.7200
38,7087.0000,6082.0000,7066.7000
39,7087.0000,6080.0000,7066.6200
40,7087.0000,6080.0000,7066.7000
41,7087.0000,6080.0000,7026.5000
42,7087.0000,6080.0000,7026.5800
43,7087.0000,6070.0000,7066.6200
44,7087.0000,-997.0000,6884.6400
45,7087.0000,-997.0000,6682.4800
46,7087.0000,7085.0000,7086.8800
47,7087.0000,6068.0000,7026.0200
48,7087.0000,6070.0000,7046.1200
49,7087.0000,7085.0000,7086.9600
50,7087.0000,-997.0000,6885.0000
51,7087.0000,-997.0000,6884.6800
