fitness,execucao,semente_mapa,semente_treino,semente_teste,fitness_treino,pontos_teste,vitoria_teste,genes
F1,1,2026005,-8537599247038779625,-6691414788273859082,996.0000,994,true,[3 10 10 2 5 5]
F1,2,2026005,-7064733357144764757,-3988105913303610980,996.0000,996,true,[3 10 10 2 5 5]
F1,3,2026005,-1372350200461524168,-8815181190354914201,996.0000,996,true,[3 10 10 2 5 5]
F1,4,2026005,6647762883922478793,5588685216958434381,996.0000,994,true,[3 10 10 2 5 5]
F1,5,2026005,570767298115617023,3854916506800571916,996.0000,994,true,[3 10 10 2 5 5]
F2,1,2026005,-8537599247038779625,-6691414788273859082,5996.0000,994,true,[3 10 10 2 5 5]
F2,2,2026005,-7064733357144764757,-3988105913303610980,5996.0000,996,true,[3 10 10 2 5 5]
F2,3,2026005,-1372350200461524168,-8815181190354914201,5996.0000,996,true,[3 10 10 2 5 5]
F2,4,2026005,6647762883922478793,5588685216958434381,5996.0000,994,true,[3 10 10 2 5 5]
F2,5,2026005,570767298115617023,3854916506800571916,5996.0000,994,true,[3 10 10 2 5 5]
F3,1,2026005,-8537599247038779625,-6691414788273859082,6096.0000,994,true,[3 10 10 2 5 5]
F3,2,2026005,-7064733357144764757,-3988105913303610980,6096.0000,996,true,[3 10 10 2 5 5]
F3,3,2026005,-1372350200461524168,-8815181190354914201,6096.0000,996,true,[3 10 10 2 5 5]
F3,4,2026005,6647762883922478793,5588685216958434381,6096.0000,994,true,[3 10 10 2 5 5]
F3,5,2026005,570767298115617023,3854916506800571916,6096.0000,994,true,[3 10 10 2 5 5]
