linha,coluna,poco,wumpus,ouro,brisa,fedor,brilho
0,0,false,false,false,true,false,false
0,1,true,false,false,true,false,false
0,2,true,false,false,true,false,false
0,3,false,false,false,true,false,false
0,4,false,false,false,false,false,false
0,5,false,false,false,false,false,false
0,6,false,false,false,true,false,false
0,7,false,false,false,false,false,false
0,8,false,false,false,false,false,false
0,9,false,false,false,false,true,false
0,10,false,true,false,false,false,false
0,11,false,false,false,false,true,false
0,12,false,false,false,false,false,false
0,13,false,false,false,false,false,false
0,14,false,false,false,false,false,false
0,15,false,false,false,true,false,false
0,16,true,false,false,false,false,false
0,17,false,false,false,true,false,false
0,18,false,false,false,false,false,false
0,19,false,false,false,false,false,false
1,0,false,false,false,false,false,false
1,1,false,false,false,true,false,false
1,2,false,false,false,true,false,false
1,3,false,false,false,false,false,false
1,4,false,false,false,false,false,false
1,5,false,false,false,true,false,false
1,6,true,false,false,false,false,false
1,7,false,false,false,true,false,false
1,8,false,false,false,false,false,false
1,9,false,false,false,false,false,false
1,10,false,false,false,false,true,false
1,11,false,false,false,false,false,false
1,12,false,false,false,false,false,false
1,13,false,false,false,false,false,false
1,14,false,false,false,true,false,false
1,15,false,false,false,false,false,false
1,16,false,false,false,true,false,false
1,17,false,false,false,true,false,false
1,18,false,false,false,false,false,false
1,19,false,false,false,true,false,false
2,0,false,false,false,false,false,false
2,1,false,false,false,false,false,false
2,2,false,false,false,false,false,false
2,3,false,false,false,false,false,false
2,4,false,false,false,false,false,false
2,5,false,false,false,false,false,false
2,6,false,false,false,true,false,false
2,7,false,false,false,false,false,false
2,8,false,false,false,false,false,false
2,9,false,false,false,false,false,false
2,10,false,false,false,false,false,false
2,11,false,false,false,false,false,false
2,12,false,false,false,false,false,false
2,13,false,false,false,true,false,false
2,14,true,false,false,false,false,false
2,15,false,false,false,true,false,false
2,16,false,false,false,true,false,false
2,17,true,false,false,false,false,false
2,18,false,false,false,true,false,false
2,19,true,false,false,false,false,false
3,0,false,false,false,false,false,false
3,1,false,false,false,false,false,false
3,2,false,false,false,false,false,false
3,3,false,false,false,false,false,false
3,4,false,false,false,false,false,false
3,5,false,false,false,true,false,false
3,6,true,false,false,false,false,false
3,7,false,false,false,true,false,false
3,8,false,false,false,false,false,false
3,9,false,false,false,false,false,false
3,10,false,false,false,false,false,false
3,11,false,false,false,true,false,false
3,12,false,false,false,false,false,false
3,13,false,false,false,false,false,false
3,14,false,false,false,true,false,false
3,15,false,false,false,false,false,false
3,16,false,false,false,false,false,false
3,17,false,false,false,true,false,false
3,18,false,false,false,false,false,false
3,19,false,false,false,true,false,false
4,0,false,false,false,false,false,false
4,1,false,false,false,false,false,false
4,2,false,false,false,false,false,false
4,3,false,false,false,false,false,false
4,4,false,false,false,false,false,false
4,5,false,false,false,false,false,false
4,6,false,false,false,true,false,false
4,7,false,false,false,true,false,false
4,8,false,false,false,false,false,false
4,9,false,false,false,false,false,false
4,10,false,false,false,true,false,false
4,11,true,false,false,false,false,false
4,12,false,false,false,true,false,false
4,13,false,false,false,false,false,false
4,14,false,false,false,false,false,false
4,15,false,false,false,false,false,false
4,16,false,false,false,false,false,false
4,17,false,false,false,false,false,false
4,18,false,false,false,false,false,false
4,19,false,false,false,false,false,false
5,0,false,false,false,false,false,false
5,1,false,false,false,false,false,false
5,2,false,false,false,false,false,false
5,3,false,false,false,false,false,false
5,4,false,false,false,false,false,false
5,5,false,false,false,true,false,false
5,6,true,false,false,true,false,false
5,7,true,false,false,true,false,false
