geracao,melhor_medio,pior_medio,media_populacional
0,6096.0000,6094.0000,6094.9893
1,6096.0000,6094.0667,6095.6520
2,6096.0000,6094.6000,6095.9373
3,6096.0000,6094.5333,6095.9373
4,6096.0000,6094.6667,6095.9533
5,6096.0000,6094.2667,6095.9453
6,6096.0000,6094.4000,6095.9547
7,6096.0000,6094.3333,6095.9387
8,6096.0000,6094.6000,6095.9427
9,6096.0000,6094.6000,6095.9507
10,6096.0000,6094.4667,6095.9533
11,6096.0000,6094.6667,6095.9573
12,6096.0000,6094.4667,6095.9387
13,6096.0000,6094.6667,6095.9467
14,6096.0000,6094.4000,6095.9467
15,6096.0000,6094.6667,6095.9453
16,6096.0000,6094.2000,6095.9347
17,6096.0000,6094.0667,6095.9293
18,6096.0000,6094.2667,6095.9347
19,6096.0000,6094.6000,6095.9547
20,6096.0000,6094.4667,6095.9400
21,6096.0000,6094.6000,6095.9440
22,6096.0000,6094.4667,6095.9480
23,6096.0000,6094.4667,6095.9413
24,6096.0000,6094.8000,6095.9613
25,6096.0000,6094.9333,6095.9707
26,6096.0000,6094.8000,6095.9547
27,6096.0000,6094.7333,6095.9467
28,6096.0000,6094.4000,6095.9347
29,6096.0000,6094.2667,6095.9400
30,6096.0000,6094.6000,6095.9453
31,6096.0000,6094.4000,6095.9467
32,6096.0000,6094.5333,6095.9493
33,6096.0000,6094.3333,6095.9267
34,6096.0000,6094.5333,6095.9453
35,6096.0000,6094.4000,6095.9320
36,6096.0000,6094.6667,6095.9453
37,6096.0000,6094.5333,6095.9480
38,6096.0000,6094.2000,6095.9333
39,6096.0000,6094.3333,6095.9413
40,6096.0000,6094.4667,6095.9387
41,6096.0000,6094.6667,6095.9440
42,6096.0000,6094.6667,6095.9560
43,6096.0000,6094.6000,6095.9520
44,6096.0000,6094.7333,6095.9547
45,6096.0000,6094.4000,6095.9480
46,6096.0000,6094.9333,6095.9573
47,6096.0000,6094.7333,6095.9627
48,6096.0000,6094.8000,6095.9613
49,6096.0000,6094.2667,6095.9413
50,6096.0000,6094.1333,6095.9427
51,6096.0000,6094.6000,6095.9520
52,6096.0000,6094.6000,6095.9480
53,6096.0000,6094.6000,6095.9560
54,6096.0000,6094.8000,6095.9573
55,6096.0000,6094.4000,6095.9453
56,6096.0000,6094.4000,6095.9427
57,6096.0000,6094.4667,6095.9427
58,6096.0000,6094.3333,6095.9360
59,6096.0000,6094.6000,6095.9453
60,6096.0000,6094.8000,6095.9653
61,6096.0000,6094.6000,6095.9493
62,6096.0000,6094.4667,6095.9387
63,6096.0000,6094.6667,6095.9400
64,6096.0000,6094.6000,6095.9387
65,6096.0000,6094.4667,6095.9400
66,6096.0000,6094.4000,6095.9427
67,6096.0000,6094.4667,6095.9533
68,6096.0000,6094.5333,6095.9453
69,6096.0000,6094.4667,6095.9480
70,6096.0000,6094.4000,6095.9280
71,6096.0000,6094.4000,6095.9387
72,6096.0000,6094.8000,6095.9613
73,6096.0000,6094.3333,6095.9373
74,6096.0000,6094.5333,6095.9400
75,6096.0000,6094.3333,6095.9400
76,6096.0000,6094.6000,6095.9560
77,6096.0000,6094.5333,6095.9533
78,6096.0000,6094.5333,6095.9400
79,6096.0000,6094.2667,6095.9347
80,6096.0000,6094.5333,6095.9413
81,6096.0000,6094.2667,6095.9293
82,6096.0000,6094.2000,6095.9360
83,6096.0000,6094.6000,6095.9480
84,6096.0000,6094.7333,6095.9600
85,6096.0000,6094.4667,6095.9440
86,6096.0000,6094.4667,6095.9400
87,6096.0000,6094.5333,6095.9453
88,6096.0000,6094.6000,6095.9467
89,6096.0000,6094.5333,6095.9547
90,6096.0000,6094.4667,6095.9333
91,6096.0000,6094.2667,6095.9480
92,6096.0000,6094.3333,6095.9373
93,6096.0000,6094.6000,6095.9413
94,6096.0000,6094.5333,6095.9373
95,6096.0000,6094.5333,6095.9413
96,6096.0000,6094.7333,6095.9547
97,6096.0000,6094.2667,6095.9293
98,6096.0000,6094.4000,6095.9507
99,6096.0000,6094.7333,6095.9587
100,6096.0000,6094.5333,6095.9587
101,6096.0000,6094.5333,6095.9533
102,6096.0000,6094.4000,6095.9373
103,6096.0000,6094.6000,6095.9440
104,6096.0000,6094.4000,6095.9387
105,6096.0000,6094.6000,6095.9427
106,6096.0000,6094.5333,6095.9427
107,6096.0000,6094.3333,6095.9293
108,6096.0000,6094.6000,6095.9480
109,6096.0000,6094.4000,6095.9333
110,6096.0000,6094.5333,6095.9533
111,6096.0000,6094.2667,6095.9387
112,6096.0000,6094.4000,6095.9560
113,6096.0000,6094.4000,6095.9387
114,6096.0000,6094.5333,6095.9427
115,6096.0000,6094.2000,6095.9307
116,6096.0000,6094.4667,6095.9533
117,6096.0000,6094.4000,6095.9427
118,6096.0000,6094.6667,6095.9547
119,6096.0000,6094.4000,6095.9413
120,6096.0000,6094.5333,6095.9493
121,6096.0000,6094.2667,6095.9347
122,6096.0000,6094.3333,6095.9320
123,6096.0000,6094.5333,6095.9440
124,6096.0000,6094.2667,6095.9307
125,6096.0000,6094.3333,6095.9533
126,6096.0000,6094.4000,6095.9453
127,6096.0000,6094.4667,6095.9360
