n,versao,execucao,semente_agente,semente_teste,acoes,pontuacao,vitoria,fim,ouros,wumpus_mortos,casas_visitadas,fitness_treino,genes,avaliacoes_distintas
4,v1,1,-3209342253177505880,-3209342253177505880,4,996,true,VITORIA,1,0,2,,,
4,v2,1,-3209342253177505880,-3209342253177505880,4,996,true,VITORIA,1,0,2,,,
4,v3,1,8219100956729337904,-3209342253177505880,13,1987,true,VITORIA,1,1,10,7089.0,[10 7 5 4 7 1],7551
4,v1,2,5340696563886033675,5340696563886033675,15,985,true,VITORIA,1,0,3,,,
4,v2,2,5340696563886033675,5340696563886033675,23,1977,true,VITORIA,1,1,15,,,
4,v3,2,7818603126791072478,5340696563886033675,15,1985,true,VITORIA,1,1,11,7087.0,[2 8 3 2 7 1],8876
4,v1,3,-9072588442426326560,-9072588442426326560,9,-1009,false,POCO,0,0,7,,,
4,v2,3,-9072588442426326560,-9072588442426326560,17,1983,true,VITORIA,1,1,13,,,
4,v3,3,-6543531090223418194,-9072588442426326560,8,992,true,VITORIA,1,0,5,7087.0,[8 4 5 0 5 5],12577
4,v1,4,-2287498692211388632,-2287498692211388632,4,-4,false,WUMPUS,1,0,3,,,
4,v2,4,-2287498692211388632,-2287498692211388632,4,996,true,VITORIA,1,0,2,,,
4,v3,4,-3601586780517960563,-2287498692211388632,13,1987,true,VITORIA,1,1,10,7087.0,[6 0 4 7 9 0],9456
4,v1,5,5575382639112449423,5575382639112449423,14,986,true,VITORIA,1,0,8,,,
4,v2,5,5575382639112449423,5575382639112449423,4,996,true,VITORIA,1,0,2,,,
4,v3,5,-3315384450901208215,5575382639112449423,13,1987,true,VITORIA,1,1,10,7087.0,[8 4 10 8 10 0],9428
4,v1,6,-3882683869641058914,-3882683869641058914,12,-1012,false,POCO,0,0,9,,,
4,v2,6,-3882683869641058914,-3882683869641058914,17,1983,true,VITORIA,1,1,13,,,
4,v3,6,-7420278613747060152,-3882683869641058914,15,1985,true,VITORIA,1,1,11,7087.0,[10 7 6 5 10 0],11125
4,v1,7,-769614342486387448,-769614342486387448,10,-10,false,WUMPUS,1,0,5,,,
4,v2,7,-769614342486387448,-769614342486387448,21,1979,true,VITORIA,1,1,15,,,
4,v3,7,-5290141018893373644,-769614342486387448,13,1987,true,VITORIA,1,1,10,7087.0,[5 2 4 4 8 1],12438
4,v1,8,8595957899631532666,8595957899631532666,12,-12,false,WUMPUS,1,0,5,,,
4,v2,8,8595957899631532666,8595957899631532666,15,1985,true,VITORIA,1,1,11,,,
4,v3,8,-5159416026064702597,8595957899631532666,11,1989,true,VITORIA,1,1,8,7089.0,[10 1 5 4 7 1],8421
4,v1,9,-6001111523064130920,-6001111523064130920,4,996,true,VITORIA,1,0,2,,,
4,v2,9,-6001111523064130920,-6001111523064130920,4,996,true,VITORIA,1,0,2,,,
4,v3,9,1160430240169809915,-6001111523064130920,4,996,true,VITORIA,1,0,2,7089.0,[9 0 2 0 5 1],9015
4,v1,10,-1101351724742339967,-1101351724742339967,24,-1024,false,WUMPUS,0,0,12,,,
