n,versao,execucoes,pontuacao_media,desvio_padrao_amostral,vitorias_percentual
4,v1,30,52.1667,872.9516,26.6667
4,v2,30,1554.2333,496.5101,100.0000
4,v3,30,1886.9667,302.5288,100.0000
5,v1,30,160.3333,790.8231,36.6667
5,v2,30,995.0000,1.0171,100.0000
5,v3,30,995.6000,0.8137,100.0000
10,v1,30,-1008.4333,11.4581,0.0000
10,v2,30,-262.2333,1100.7561,33.3333
10,v3,30,759.2667,598.3618,90.0000
15,v1,30,-997.8333,179.7880,0.0000
15,v2,30,527.6667,973.6747,40.0000
15,v3,30,1169.0667,919.5421,70.0000
20,v1,30,-1011.6000,20.2563,0.0000
20,v2,30,-200.6333,1194.6883,33.3333
20,v3,30,621.1333,1011.6228,76.6667
