execucao,n4_v1,n4_v2,n4_v3,n5_v1,n5_v2,n5_v3,n10_v1,n10_v2,n10_v3,n15_v1,n15_v2,n15_v3,n20_v1,n20_v2,n20_v3
1,996,996,1987,-5,994,996,-1009,-1005,964,-1046,-221,1765,-1003,1855,1683
2,985,1977,1985,-1007,994,996,-1004,1909,944,-1014,-277,1753,-1004,1659,864
3,-1009,1983,992,996,996,996,-1004,-1005,-1007,-1009,-262,1751,-1003,1569,832
4,-4,996,1987,-14,996,996,-1002,-1005,950,-1029,-253,1769,-1006,878,878
5,986,996,1987,-3,996,996,-1003,916,964,-1006,-270,1767,-1004,-1001,870
6,-1012,1983,1985,996,996,996,-1002,-1005,956,-1062,1707,-203,-1054,-1083,1667
7,-10,1979,1987,-5,994,994,-1004,1913,962,-1035,-241,1745,-1082,-1077,670
8,-12,1985,1989,988,994,996,-1011,928,-1004,-1019,1725,1747,-1010,642,866
9,996,996,996,-1006,994,994,-1016,-1005,958,-51,-262,1767,-1004,1663,1717
10,-1024,1979,1987,-4,996,996,-1002,902,902,-1041,1679,1769,-1001,-1001,876
11,-1033,996,996,-1005,994,996,-1004,-1005,956,-1039,1709,1761,-1001,-1001,864
12,-8,996,1987,-4,996,996,-1003,-1005,958,-1029,-254,1765,-1001,-1001,1683
13,984,1983,1987,995,994,996,-1005,948,958,-1033,1697,1765,-1001,-1001,-1083
14,982,996,1987,996,996,996,-1002,-1005,-1005,-1096,1697,1761,-1001,-1001,-1077
15,-1064,1979,1983,-1014,994,996,-1004,940,954,-1008,1701,-212,-1001,-1001,808
16,-1027,996,1987,975,996,996,-1008,-1005,956,-1027,-261,1759,-1006,1721,670
17,1992,1979,1987,993,996,996,-1012,-1005,948,-1007,1719,1777,-1002,-1001,-1001
18,-39,996,1979,-4,994,996,-1065,930,954,-1016,-261,1763,-1007,1807,876
19,-3,996,1987,-1004,994,994,-1002,-1005,962,-1053,-241,-214,-1007,1577,870
20,-1017,1979,1977,-3,996,996,-1009,-1005,964,-1023,-266,1767,-1004,-1001,692
21,-14,1985,1987,996,996,996,-1014,932,952,-1026,-242,1743,-1002,-1001,-1001
22,-1008,1983,1987,-3,996,996,-1004,1915,962,-1028,-242,-201,-1010,-1001,-1001
23,-12,1979,1987,995,996,996,-1008,-1005,956,-1043,-257,-214,-1006,-1001,1857
24,-6,1985,1989,990,996,996,-1006,-1005,954,-1028,1697,-228,-1011,-1001,-1088
25,-8,1979,1987,-1007,994,994,-1006,-1005,956,-1020,1691,-207,-1043,-1079,1609
26,-6,1983,1987,-5,994,996,-1006,-1005,956,-1015,-254,1753,-1061,-1001,1731
27,-9,1979,1987,995,994,994,-1017,-1005,960,-1026,1711,1765,-1001,-1001,-1001
28,-6,996,1987,-1002,994,996,-1008,-1005,962,-1049,-262,-216,-1010,866,742
29,-14,996,1987,-3,996,996,-1005,-1005,958,-1025,-244,-212,-1001,-1001,694
30,1989,996,1985,993,994,994,-1008,-1005,968,-1032,1667,1767,-1001,-1001,1867
