geracao,melhor_medio,pior_medio,media_populacional
0,7012.7333,-997.0000,3521.6653
1,7017.2000,-996.7667,5228.2060
2,7017.7333,-996.3667,5645.8660
3,7018.7333,-996.0667,5962.7947
4,7019.3333,-996.0667,6146.6600
5,7019.7333,172.8333,6434.8860
6,7021.2000,407.7333,6495.7560
7,7021.2000,875.6333,6618.7353
8,7021.2667,172.3000,6575.6193
9,7021.2667,1105.3667,6661.1053
10,7021.8000,1575.5667,6655.2860
11,7021.8000,1147.3333,6699.5287
12,7021.8000,1611.5667,6733.8047
13,7021.8000,673.2333,6627.2213
14,7021.8000,675.3333,6590.7580
15,7021.8000,1110.3000,6698.5507
16,7021.8000,-58.0333,6644.5793
17,7021.8000,406.9333,6665.3280
18,7021.8000,1111.6333,6716.1040
19,7021.8000,406.6333,6642.5807
20,7021.9333,-61.7333,6665.4840
21,7021.9333,643.3000,6710.2467
22,7021.9333,1115.8000,6723.9233
23,7021.9333,643.6667,6681.4300
24,7021.9333,408.0000,6683.6433
25,7021.9333,644.2333,6701.6800
26,7021.9333,877.5667,6691.3953
27,7022.0000,208.3333,6643.5673
28,7022.0000,641.4333,6683.7973
29,7022.0000,411.4667,6671.3620
30,7022.0000,172.5000,6706.1453
31,7022.0000,177.2000,6658.4553
32,7022.0000,908.5333,6651.7280
33,7022.0000,1107.7667,6652.2333
34,7022.4000,1579.0333,6742.4653
35,7022.4000,406.2667,6673.9020
36,7022.4000,1340.1333,6667.6107
37,7022.4000,406.5000,6622.1300
38,7022.6667,642.7000,6593.1513
39,7022.6667,1380.3333,6660.0493
40,7022.6667,909.6667,6575.2227
41,7022.6667,641.4000,6597.4287
42,7022.8000,-57.4333,6552.9147
43,7022.8000,641.6333,6599.8607
44,7022.9333,406.8667,6645.4533
45,7022.9333,2044.8000,6689.5767
46,7022.9333,1111.3667,6648.5867
47,7022.9333,1108.4333,6636.9020
48,7022.9333,1112.9667,6665.3487
49,7022.9333,673.8000,6656.1853
50,7023.0000,1577.9667,6706.3880
51,7023.4000,406.8000,6662.6953
52,7023.4000,676.8333,6699.0553
53,7023.4000,1374.5667,6721.4667
54,7023.4000,1814.3667,6738.7227
55,7023.4000,408.3000,6674.9380
56,7023.4000,648.3333,6639.3607
57,7023.4000,1108.7333,6733.3827
58,7023.4000,642.9000,6659.1453
59,7023.4000,411.8333,6697.0260
60,7023.4000,1344.7667,6722.4493
61,7023.4000,878.2000,6714.4140
62,7023.4000,1378.5000,6719.0687
63,7023.4000,-294.7333,6634.6847
64,7023.4000,-58.6667,6701.3100
65,7023.4000,-23.4333,6725.0233
66,7023.4000,-292.1000,6693.5087
67,7023.4000,408.1667,6639.4847
68,7023.4000,642.6000,6696.0260
69,7023.4000,406.7667,6689.6887
70,7023.4000,642.4333,6666.2700
71,7023.4000,640.4000,6711.9733
72,7023.4000,642.1333,6631.1447
73,7023.4000,910.1333,6682.1320
74,7023.4000,1816.2000,6776.8513
75,7023.4000,1110.4333,6660.7427
76,7023.4000,1580.5667,6735.1873
77,7023.4000,1112.4000,6748.6687
78,7023.4000,-59.0667,6692.7313
79,7023.4000,1343.5667,6696.7153
80,7023.4000,1110.0333,6717.3473
81,7023.4000,642.4000,6670.2747
82,7023.4000,439.9000,6672.8487
83,7023.4000,876.7333,6674.3680
84,7023.4000,175.4667,6665.9993
85,7023.4000,-294.4333,6677.3647
86,7023.4000,-58.8000,6645.1900
87,7023.4000,-294.9333,6641.1760
88,7023.4000,408.9667,6682.0307
89,7023.4000,409.1000,6653.4873
90,7023.4000,1813.5000,6684.1953
