execucao,n4_v1,n4_v2,n4_v3,n5_v1,n5_v2,n5_v3,n10_v1,n10_v2,n10_v3,n15_v1,n15_v2,n15_v3,n20_v1,n20_v2,n20_v3
1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1
2,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1
3,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1
4,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1
5,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1
6,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1
7,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1
8,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1
9,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1
10,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1
11,0,1,1,0,1,1,0,0,1,0,1,1,0,0,1
12,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1
13,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0
14,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0
15,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1
16,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1
17,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0
18,0,1,1,0,1,1,0,1,1,0,0,1,0,1,1
19,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1
20,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1
21,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0
22,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0
23,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1
24,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0
25,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1
26,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1
27,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0
28,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1
29,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1
30,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1
